usage_id,customer_id,month,data_usage_gb,call_minutes,sms_count
1,11659,2024-05-17,370.63,3655,117
2,9850,2024-11-17,303.87,1629,325
3,2878,2024-05-13,261.17,3046,182
4,12507,2024-03-19,188.82,462,433
5,11516,2024-02-04,218.29,3818,287
6,9957,2024-05-11,308.5,1934,384
7,13611,2024-12-06,322.8,462,36
8,9056,2024-03-12,339.83,128,92
9,3036,2024-08-03,466.91,1500,94
10,5848,2024-09-10,298.04,2911,398
11,7415,2024-01-14,26.8,823,149
12,6046,2024-09-16,474.19,370,239
13,10061,2024-10-19,427.91,922,61
14,8512,2024-08-08,396.66,2369,138
15,1695,2024-02-26,305.53,878,46
16,14968,2024-01-22,104.97,2003,327
17,3687,2024-02-08,178.21,2739,9
18,2654,2024-09-17,125.83,2603,434
19,6080,2024-10-26,326.27,3418,438
20,5188,2024-02-12,35.06,1033,417
21,3971,2024-07-12,116.24,3304,181
22,9911,2024-06-13,63.3,2455,435
23,9850,2024-04-29,221.7,2036,453
24,4764,2024-05-16,11.22,1459,128
25,6339,2024-12-18,367.8,2492,57
26,11274,2024-12-15,124.28,3937,446
27,12162,2024-10-22,282.35,3446,166
28,14192,2024-11-12,471.04,3769,3
29,8104,2024-10-08,410.49,1710,154
30,11289,2024-02-06,460.96,422,199
31,13954,2024-09-13,248.11,3143,255
32,3341,2024-06-17,301.05,2494,325
33,13296,2024-09-12,58.52,1894,323
34,12255,2024-12-28,355.71,2347,474
35,4473,2024-06-08,87.05,3009,166
36,11856,2024-06-20,431.41,1431,336
37,13293,2024-10-19,213.44,3185,363
38,3411,2024-04-10,474.02,3372,232
39,2531,2024-08-09,291.96,3476,114
40,3593,2024-01-09,357.67,3546,4
41,5107,2024-06-03,399.02,94,309
42,6718,2024-10-29,474.07,3607,112
43,985,2024-04-05,311.9,2239,344
44,2606,2024-07-29,153.17,1460,264
45,7799,2024-05-29,307.75,995,28
46,8490,2024-02-06,210.36,402,107
47,4329,2024-11-18,491.71,987,69
48,4516,2024-12-13,91.16,739,415
49,7563,2024-10-25,167.82,1423,294
50,5275,2024-01-12,101.31,1287,287
51,7849,2024-01-04,94.33,203,170
52,1603,2024-12-07,448.79,2766,325
53,6790,2024-01-12,317.25,688,298
54,12985,2024-09-03,404.35,3581,496
55,2131,2024-03-17,337.71,734,34
56,8974,2024-10-31,208.52,3758,347
57,11139,2024-12-05,294.85,1271,319
58,9124,2024-01-13,402.17,799,96
59,13830,2024-10-09,257.46,25,172
60,203,2024-02-14,249.49,3887,398
61,7665,2024-01-29,165.09,3282,250
62,1293,2024-12-28,135.27,827,238
63,13508,2024-12-04,392.85,2287,269
64,2262,2024-07-15,219.52,634,79
65,9674,2024-03-24,309.74,463,352
66,8547,2024-08-07,471.3,1984,312
67,14550,2024-03-01,495.4,2516,355
68,12911,2024-06-06,59.49,607,43
69,11128,2024-03-11,65.84,2405,146
70,7523,2024-10-18,310.39,1110,147
71,11511,2024-09-01,222.66,3039,71
72,7653,2024-05-21,343.77,1795,445
73,2050,2024-04-03,96.99,1929,63
74,14926,2024-07-17,364.21,1045,203
75,8394,2024-04-19,482.63,1886,52
76,234,2024-11-15,233.39,1892,17
77,9368,2024-06-17,371.39,1158,358
78,11381,2024-11-06,482.14,2649,282
79,3682,2024-08-16,276.65,1697,28
80,11756,2024-03-22,479.68,2475,67
81,12323,2024-05-08,476.8,2610,194
82,11272,2024-07-19,53.66,1034,400
83,8824,2024-07-08,336.79,2770,40
84,14862,2024-04-09,106.54,2598,48
