ticket_id,customer_id,issue_type,priority,resolution_days,satisfaction_score
1,13560,Refund,High,10,4
2,3131,Refund,Low,3,2
3,3222,Billing,High,6,2
4,8337,Billing,High,20,2
5,12705,Refund,Medium,12,3
6,4013,Refund,Low,19,3
7,6973,Login,High,15,3
8,3901,Technical,Low,6,3
9,297,Network,Low,10,1
10,9740,Speed,High,18,1
11,4103,Refund,High,12,3
12,13911,Network,Medium,3,5
13,12180,Billing,Low,16,5
14,8823,Refund,Medium,16,3
15,10451,Network,Low,16,4
16,11667,Speed,Low,4,5
17,11615,Speed,Medium,13,1
18,10015,Login,High,4,4
19,1146,Speed,High,18,5
20,8733,Technical,Low,2,3
21,643,Network,Medium,11,2
22,9750,Speed,High,1,3
23,4451,Login,Medium,12,1
24,7844,Refund,Medium,20,5
25,2776,Speed,Medium,1,4
26,11427,Billing,High,20,2
27,9528,Speed,Low,20,1
28,4955,Login,Low,16,5
29,10080,Refund,Low,19,4
30,13103,Technical,High,10,5
31,7301,Refund,Medium,3,2
32,6600,Billing,High,3,3
33,2913,Login,Low,1,2
34,13825,Refund,Low,19,2
35,12194,Network,High,18,3
36,4722,Refund,High,15,2
37,7919,Speed,Low,8,4
38,5481,Network,Low,13,5
39,2296,Login,High,19,2
40,10851,Speed,Medium,7,1
41,12818,Network,Low,6,2
42,9207,Network,Low,1,4
43,6492,Login,High,10,2
44,2621,Billing,High,3,2
45,12487,Technical,Low,8,3
46,10345,Login,Low,10,5
47,3763,Speed,High,16,1
48,2771,Speed,Low,3,3
49,11842,Billing,Low,10,1
50,13877,Speed,Medium,2,5
51,10343,Refund,Medium,7,2
52,14586,Billing,High,13,3
53,11382,Technical,Medium,13,2
54,10534,Network,Medium,13,4
55,4263,Login,Low,8,1
56,4969,Refund,Medium,15,2
57,10757,Refund,Low,4,2
58,10233,Speed,Low,12,1
59,10921,Network,Medium,15,2
60,10281,Network,Medium,12,1
61,557,Billing,Low,1,3
62,10626,Refund,Medium,18,1
63,12241,Network,High,18,5
64,11326,Billing,Medium,11,1
65,2341,Login,Low,7,3
66,5642,Login,Low,6,4
67,3037,Network,Low,1,2
68,14813,Network,Medium,14,5
69,11399,Speed,Medium,15,5
70,1783,Technical,Low,9,4
71,14775,Refund,Low,11,2
72,11369,Billing,High,8,1
73,14352,Speed,Medium,14,3
74,4909,Speed,Low,13,1
75,227,Speed,Medium,12,5
76,5005,Login,High,9,2
77,14056,Network,High,2,4
78,8692,Billing,Medium,5,5
79,3967,Billing,Medium,9,4
80,1958,Login,Medium,6,2
81,326,Speed,High,12,3
82,13903,Technical,High,7,4
83,12390,Refund,Medium,5,1
84,7169,Login,Low,18,1
85,12782,Speed,High,12,4
86,13180,Login,Medium,14,5
87,5470,Login,Medium,7,1
88,10372,Technical,Medium,20,4
89,8188,Technical,Medium,9,4
90,3962,Speed,High,15,2
91,8980,Refund,Medium,2,2
92,1604,Login,Medium,13,3
93,10768,Refund,Low,17,4
94,4445,Technical,Medium,8,5
95,14697,Network,High,2,1
96,8499,Technical,Low,3,2
97,1499,Speed,High,20,5
98,10232,Billing,Low,7,1
99,11351,Billing,High,13,2
100,9336,Technical,Low,19,1
101,3562,Refund,Medium,10,2
102,14213,Refund,High,12,3
103,4480,Login,Low,10,2
104,9189,Network,Medium,3,3
105,330,Speed,High,13,4
106,4775,Billing,Low,13,1
107,8660,Refund,High,17,4
108,7362,Login,Low,14,3
109,13272,Network,Low,11,2
110,7866,Technical,Low,6,5
111,10097,Speed,Medium,18,5
112,9630,Network,Medium,6,1
113,12531,Speed,High,2,1
114,9703,Login,Low,6,5
115,4257,Speed,Medium,15,4
116,12805,Login,Medium,5,2
117,14813,Refund,Low,14,5
118,10409,Refund,Medium,11,2
119,5761,Login,High,20,2
120,6394,Technical,High,20,2
121,6465,Speed,Medium,20,3
122,6844,Network,Medium,8,3
123,4533,Speed,Low,13,3
124,7616,Speed,Low,4,1
125,14473,Billing,Low,15,3
126,10926,Technical,Medium,16,1
127,1240,Technical,High,15,4
128,2800,Technical,Low,18,5
129,10869,Technical,High,10,1
130,6441,Speed,Medium,6,2
131,13211,Login,Medium,8,2
132,9766,Network,High,6,1
133,13424,Network,Medium,15,4
134,62,Network,Medium,20,3
135,5114,Speed,Medium,1,5
136,2086,Technical,High,10,5
137,8761,Network,High,11,4
138,14333,Login,High,8,3
139,4711,Refund,High,19,1
140,9717,Technical,High,13,3
141,2249,Billing,High,3,4
142,9572,Billing,Medium,18,2
143,14869,Speed,Medium,20,2
144,3789,Billing,Low,5,5
145,12481,Refund,Medium,3,4
146,8090,Refund,High,12,2
147,9509,Speed,Medium,8,4
148,14882,Login,Low,18,1
149,5358,Login,Medium,10,2
150,2294,Refund,High,5,1
151,9834,Network,High,15,4
152,1728,Refund,Medium,5,3
153,14669,Speed,Low,2,3
154,12832,Network,High,8,4
155,920,Refund,Medium,14,5
156,12675,Technical,High,20,5
157,2699,Billing,High,16,1
158,11039,Billing,Low,17,4
159,3212,Speed,Medium,5,2
160,11066,Speed,Medium,19,1
161,405,Refund,High,10,2
162,2842,Billing,Low,14,2
163,12514,Billing,Medium,8,2
164,7103,Network,High,13,5
165,1942,Login,Medium,10,4
166,6176,Technical,Medium,16,2
167,9577,Network,Low,13,1
168,4145,Refund,Low,11,3
169,7030,Billing,High,3,2
170,4510,Speed,Low,8,2
171,10544,Network,Low,14,2
172,5493,Billing,Medium,13,5
173,6824,Refund,Low,11,3
174,6326,Network,Low,16,3
175,6173,Speed,High,20,3
176,7463,Speed,Low,17,2
177,9004,Login,Low,19,5
178,11069,Technical,Medium,3,2
179,599,Technical,Medium,6,4
180,12001,Network,Low,10,4
181,6910,Speed,High,2,3
182,5073,Technical,Medium,9,4
183,10783,Billing,Low,6,2
184,8524,Speed,Low,12,3
185,5371,Speed,Low,11,1
186,12560,Login,Medium,8,3
187,11752,Technical,Low,19,2
188,2356,Speed,High,5,4
189,697,Login,Low,8,2
190,13905,Refund,Medium,10,4
191,3282,Speed,High,19,5
192,13293,Login,Medium,17,1
193,2888,Technical,Medium,16,2
194,48,Network,Low,6,2
195,1623,Network,Medium,3,3
196,10720,Login,High,15,1
197,2285,Refund,Low,12,2
198,7044,Network,Low,7,1
199,13773,Network,Low,18,1
200,11167,Speed,Medium,18,5
201,4024,Login,High,4,3
202,11797,Speed,Medium,12,1
203,11415,Refund,Low,4,2
204,5495,Speed,Medium,13,5
205,4418,Billing,Low,18,4
206,9985,Login,Medium,20,3
207,5708,Speed,High,5,1
208,1332,Billing,Medium,13,3
209,8566,Technical,High,20,3
210,11236,Refund,Low,7,5
211,14837,Network,High,15,5
212,8239,Speed,High,5,5
213,11894,Refund,Medium,20,2
214,4632,Refund,Medium,3,5
215,12829,Billing,Medium,14,3
216,10628,Login,Medium,17,4
217,9162,Network,Low,3,5
218,1215,Refund,Low,7,1
219,110,Billing,High,11,3
220,9431,Network,Medium,18,4
221,4804,Speed,Medium,4,1
222,11099,Network,Low,13,4
223,8825,Login,Low,6,4
224,4542,Speed,Low,8,3
225,11895,Billing,High,16,2
226,920,Refund,Low,12,1
227,9942,Login,Low,4,2
228,3568,Billing,Low,8,4
229,5593,Network,Low,9,2
230,5407,Technical,High,17,3
231,13745,Billing,High,14,5
232,10380,Billing,High,3,5
233,12437,Refund,Medium,9,4
234,2035,Billing,Low,20,4
235,11102,Refund,Medium,7,5
236,2651,Refund,Medium,14,2
237,9046,Billing,High,7,3
238,11873,Login,Medium,9,2
239,8517,Login,Low,9,3
240,1669,Network,Medium,16,3
241,11472,Technical,Medium,2,2
242,1560,Speed,Medium,6,5
243,12207,Speed,Medium,1,1
244,3697,Speed,High,3,1
245,1385,Speed,Low,10,5
246,14386,Speed,Low,14,2
247,8017,Technical,Low,11,4
248,1719,Login,Low,13,2
249,4503,Speed,Medium,7,2
250,3381,Speed,Low,3,3
251,12993,Login,Low,11,2
252,6257,Refund,Medium,16,3
253,686,Technical,Medium,12,1
254,14014,Refund,Medium,2,3
255,7942,Speed,Medium,2,4
256,5309,Billing,Low,18,1
257,10637,Technical,Medium,16,4
258,8924,Technical,High,7,4
259,12228,Login,High,10,5
260,12565,Technical,Low,15,4
261,10993,Technical,Low,17,2
262,13001,Speed,High,1,3
263,12188,Network,Medium,16,5
264,13327,Network,High,13,5
265,6804,Technical,High,14,2
266,2633,Billing,Low,1,2
267,13304,Technical,Low,15,5
268,12260,Speed,Low,12,3
269,14127,Login,High,3,3
270,2748,Network,High,15,2
271,5358,Technical,Low,17,4
272,611,Technical,High,3,3
273,9042,Speed,Low,7,2
274,14211,Refund,Medium,18,3
275,6975,Billing,Medium,1,2
276,10114,Refund,Medium,18,3
277,5758,Technical,High,14,3
278,8406,Technical,High,11,1
279,14640,Speed,Medium,16,1
280,3553,Technical,Low,7,3
281,2888,Technical,Medium,2,1
282,1435,Login,Low,20,1
283,8398,Technical,High,14,3
284,10005,Network,Medium,5,1
285,7206,Login,High,5,5
286,7638,Login,High,16,4
287,14618,Login,High,5,2
288,9603,Technical,High,10,2
289,10651,Speed,Low,11,1
290,8288,Refund,Low,5,1
291,12543,Network,Medium,17,1
292,98,Technical,Medium,10,1
293,9837,Billing,Low,3,2
294,5115,Login,Low,14,3
295,6411,Network,Low,14,2
296,3978,Network,High,3,2
297,7810,Technical,High,2,4
298,12864,Network,Low,8,5
299,12922,Technical,High,8,2
300,11939,Login,Low,9,4
301,2740,Billing,Medium,15,3
302,1164,Technical,Low,14,4
303,3371,Billing,Medium,3,1
304,1679,Speed,Low,12,1
305,13107,Network,Medium,8,5
306,11339,Billing,Medium,8,5
307,3087,Technical,Medium,16,2
308,1279,Speed,High,5,5
309,3025,Refund,Medium,17,2
310,14178,Login,Low,15,2
311,3533,Billing,Low,4,3
312,2225,Technical,High,5,4
313,63,Billing,High,17,5
314,13095,Technical,Low,2,3
315,12334,Network,High,2,4
316,12703,Billing,Medium,6,1
317,1994,Technical,Medium,5,2
318,12066,Refund,Low,9,1
319,10664,Login,High,18,4
320,2029,Technical,Low,11,3
321,8787,Technical,Low,11,5
322,5727,Network,High,8,1
323,14461,Refund,Low,3,2
324,6674,Speed,Medium,20,5
325,9556,Technical,Medium,10,5
326,12575,Billing,High,16,3
327,13895,Login,High,8,3
328,14,Network,High,1,4
329,8690,Network,Medium,6,3
330,13585,Billing,High,7,1
331,3713,Billing,High,3,4
332,12777,Billing,Low,10,2
333,1691,Login,Low,3,4
334,6419,Login,High,3,1
335,4062,Billing,Low,20,4
336,1080,Speed,High,18,4
337,3329,Billing,Low,8,4
338,8962,Network,Low,14,4
339,8799,Speed,Medium,8,1
340,8009,Refund,High,14,1
341,9054,Technical,High,19,5
342,3800,Network,High,12,5
343,11855,Technical,Medium,18,1
344,14727,Technical,Medium,13,4
345,10144,Speed,High,17,3
346,10737,Technical,Medium,6,3
347,13131,Speed,High,16,2
348,7018,Speed,High,8,4
349,6246,Network,Medium,8,5
350,9264,Login,Low,9,1
351,5150,Login,Medium,19,5
352,13019,Technical,High,2,4
353,1011,Refund,Low,12,4
354,9437,Speed,Medium,6,5
355,13627,Billing,High,14,3
356,7468,Login,Medium,17,1
357,6624,Billing,Medium,15,1
358,11897,Network,Low,4,2
359,1239,Technical,Medium,1,3
360,11845,Network,Low,13,1
361,6976,Refund,Low,9,5
362,671,Login,Low,12,4
363,8579,Login,High,15,4
364,8629,Refund,Low,2,5
365,6049,Login,Medium,7,2
366,11792,Billing,Low,5,4
367,1836,Billing,High,14,1
368,4018,Refund,High,7,4
369,7256,Network,Low,7,3
370,11317,Speed,High,13,1
371,8819,Login,Low,16,4
372,13797,Speed,High,4,5
373,10013,Billing,High,3,2
374,1370,Technical,Low,16,3
375,10629,Network,Medium,9,5
376,9248,Refund,Low,17,1
377,12512,Speed,Medium,11,1
378,14166,Technical,Medium,17,2
379,14469,Refund,High,2,4
380,9611,Network,Low,9,4
381,6740,Login,Medium,14,3
382,8314,Technical,High,12,4
383,12477,Speed,Low,20,5
384,2308,Speed,Medium,5,3
385,8485,Billing,Medium,10,3
386,8089,Billing,Low,16,1
387,4370,Network,High,19,4
388,867,Refund,Medium,19,3
389,10790,Login,Low,4,3
390,2834,Speed,High,3,3
391,13257,Refund,Medium,12,3
392,5515,Speed,Low,20,4
393,3885,Login,Low,5,1
394,7229,Refund,Medium,3,4
395,4374,Technical,Low,7,4
396,9651,Login,Medium,6,5
397,9776,Speed,High,18,5
398,14085,Network,High,14,4
399,11468,Refund,Medium,9,2
400,14712,Refund,Low,18,1
401,2210,Billing,Low,19,1
402,3490,Billing,Medium,3,2
403,7979,Login,High,9,2
404,5378,Billing,Medium,10,4
405,12930,Login,Medium,3,5
406,5905,Speed,Medium,4,1
407,11251,Speed,Low,18,3
408,667,Refund,High,6,2
409,14591,Refund,High,11,1
410,4674,Login,Low,5,3
411,7397,Login,Low,19,3
412,4865,Technical,Medium,8,3
413,11197,Network,Low,7,2
414,1399,Speed,Medium,17,3
415,12743,Login,Medium,18,5
416,6637,Network,High,20,2
417,12052,Refund,Low,19,1
418,13240,Billing,Medium,11,3
419,8573,Technical,Low,1,2
420,12749,Refund,Medium,10,3
421,12767,Billing,Low,14,2
422,5332,Technical,Medium,15,3
423,5439,Speed,Low,14,1
424,3642,Speed,High,4,5
425,13866,Network,High,16,3
426,2710,Billing,Medium,10,4
427,7935,Billing,High,13,3
428,9714,Refund,Medium,1,1
429,14664,Network,Low,16,2
430,325,Refund,Medium,10,2
431,8483,Network,High,11,4
432,14958,Technical,High,11,1
433,693,Refund,Low,5,3
434,7829,Speed,Low,13,3
435,3393,Speed,High,4,4
436,8828,Login,Medium,12,3
437,2695,Login,Medium,4,3
438,7938,Billing,Low,12,3
439,6341,Login,High,18,2
440,3319,Login,Medium,6,5
441,14171,Network,High,13,4
442,12451,Billing,Low,9,4
443,4847,Refund,Medium,12,4
444,11407,Speed,High,2,4
445,4299,Speed,High,7,5
446,2453,Network,Low,16,2
447,3347,Billing,Low,17,1
448,14110,Network,Medium,16,1
449,14008,Speed,Medium,8,3
450,11701,Billing,Low,20,1
451,12028,Network,Low,15,1
452,10660,Network,Medium,9,2
453,14797,Speed,High,18,1
454,422,Network,Medium,12,3
455,5537,Billing,Low,7,4
456,14694,Refund,Medium,19,2
457,1868,Billing,Medium,11,2
458,14430,Billing,Medium,16,4
459,11603,Speed,High,19,2
460,14927,Network,High,4,2
461,7279,Refund,High,7,3
462,13841,Login,Medium,8,2
463,5291,Technical,Medium,14,3
464,8618,Refund,Medium,8,5
465,6803,Network,Medium,20,5
466,5326,Refund,Medium,11,4
467,6859,Technical,High,7,3
468,5517,Speed,Medium,11,3
469,8795,Speed,High,19,4
470,9163,Technical,Low,9,1
471,10679,Billing,High,1,5
472,7127,Refund,High,17,5
473,4216,Technical,Medium,17,1
474,14718,Login,High,11,1
475,10573,Billing,High,10,2
476,8845,Billing,Medium,20,2
477,2561,Network,High,1,4
478,9108,Login,Medium,10,4
479,10373,Login,High,8,2
480,2471,Speed,Medium,6,1
481,12926,Login,High,7,2
482,10732,Speed,High,14,5
483,1276,Billing,High,11,4
484,7766,Refund,Low,12,3
485,6608,Billing,Low,15,1
486,6285,Billing,Medium,14,4
487,10517,Speed,High,12,5
488,6933,Login,Low,2,5
489,9356,Speed,Medium,8,5
490,11316,Speed,High,12,3
491,10617,Speed,Medium,15,2
492,9873,Login,High,7,1
493,6068,Network,Low,10,3
494,13574,Billing,High,19,3
495,7407,Speed,Medium,3,1
496,3068,Billing,Medium,19,4
497,544,Billing,High,7,4
498,4031,Speed,Medium,1,5
499,3705,Login,Medium,1,4
500,11089,Login,High,5,3
501,7410,Technical,Medium,19,1
502,12168,Network,Low,8,2
503,14102,Refund,Medium,7,1
504,6070,Technical,Low,13,2
505,13415,Refund,Low,20,2
506,11798,Refund,Medium,8,5
507,6187,Speed,Medium,17,2
508,8339,Technical,Medium,1,4
509,1006,Speed,High,20,4
510,7148,Refund,High,15,1
511,3639,Speed,Medium,6,3
512,953,Login,Low,16,2
513,12176,Billing,Low,14,3
514,9539,Billing,Medium,12,4
515,10422,Network,Low,11,4
516,12202,Network,Medium,20,3
517,2057,Billing,High,4,4
518,11081,Billing,High,1,1
519,5800,Speed,High,13,3
520,13812,Billing,Medium,19,4
521,14630,Technical,High,6,5
522,6697,Login,Medium,7,3
523,10758,Login,Medium,1,1
524,5402,Technical,Low,1,2
525,2334,Technical,Medium,15,3
526,9197,Technical,High,20,3
527,1880,Login,Low,2,5
528,3533,Billing,Medium,17,1
529,2972,Billing,Low,7,2
530,208,Network,High,4,2
531,10950,Billing,High,7,2
532,9477,Refund,Medium,1,4
533,9655,Billing,Medium,15,2
534,9612,Billing,High,4,4
535,8490,Billing,Medium,8,3
536,254,Network,High,4,4
537,494,Billing,Medium,4,5
538,2659,Login,High,12,5
539,10107,Billing,High,10,2
540,1606,Refund,Low,14,1
541,1469,Refund,Medium,6,1
542,9382,Billing,Low,1,5
543,3608,Technical,Low,5,1
544,10823,Technical,High,8,5
545,7888,Refund,Medium,7,1
546,6499,Billing,Low,2,4
547,965,Billing,Medium,6,5
548,4717,Login,High,15,1
549,4048,Billing,Medium,8,5
550,2442,Billing,Medium,6,1
551,8584,Technical,Medium,17,4
552,11002,Billing,High,17,4
553,5116,Speed,High,8,5
554,3322,Speed,Low,5,5
555,1631,Billing,Medium,8,3
556,6592,Login,Medium,8,4
557,6591,Speed,High,8,2
558,1905,Login,Low,1,5
559,10996,Network,Medium,4,3
560,6967,Login,Medium,11,1
561,2554,Network,Low,14,3
562,953,Network,High,17,4
563,11929,Speed,High,5,3
564,8224,Refund,Medium,16,1
565,10396,Network,Medium,6,4
566,8002,Refund,Medium,16,3
567,9966,Technical,High,9,5
568,3973,Refund,Medium,1,2
569,4005,Speed,Medium,13,4
570,11158,Login,High,4,5
571,3531,Technical,Medium,4,4
572,13953,Login,Low,5,1
573,2332,Login,Medium,6,2
574,10836,Login,High,17,3
575,2926,Speed,Low,20,3
576,653,Login,Low,20,2
577,9455,Network,High,17,4
578,8063,Login,High,9,3
579,3786,Technical,Low,8,2
580,8032,Billing,Low,10,2
581,12429,Technical,Medium,16,2
582,4675,Technical,High,7,1
583,14928,Login,Medium,10,3
584,14608,Refund,High,15,2
585,12384,Refund,High,11,1
586,6714,Billing,Low,2,1
587,3498,Login,Low,14,2
588,4049,Network,High,16,1
589,7516,Login,Medium,16,4
590,8436,Login,Medium,6,1
591,10132,Technical,High,6,3
592,10332,Login,Low,8,2
593,2041,Technical,Medium,17,4
594,12282,Technical,Low,20,4
595,4996,Speed,Medium,19,1
596,7428,Login,High,20,2
597,4459,Billing,Low,3,4
598,10325,Billing,Medium,5,3
599,14775,Refund,High,5,2
600,2013,Network,Medium,17,1
601,10271,Refund,Medium,18,2
602,3429,Login,Low,16,3
603,10249,Network,Medium,19,3
604,1171,Network,High,13,2
605,13648,Network,Medium,7,5
606,9807,Refund,Medium,18,2
607,10772,Billing,Medium,19,3
608,3439,Network,Medium,15,1
609,2185,Billing,High,3,4
610,10197,Refund,Medium,5,2
611,14021,Refund,Low,16,1
612,13586,Network,High,6,5
613,476,Login,Medium,4,4
614,11280,Login,High,5,5
615,11048,Login,High,17,3
616,14746,Refund,Low,9,3
617,12691,Refund,Medium,19,5
618,13084,Refund,High,17,2
619,12735,Login,Medium,1,3
620,4584,Billing,High,2,2
621,3142,Speed,High,11,4
622,6134,Technical,High,8,4
623,1826,Billing,Low,7,4
624,13882,Login,High,1,2
625,9567,Login,Medium,17,5
626,3528,Technical,High,12,4
627,2134,Technical,Medium,14,2
628,6351,Network,High,4,2
629,10358,Refund,Medium,15,5
630,1810,Billing,High,17,5
631,7301,Login,Medium,6,2
632,8033,Network,High,2,3
633,5288,Login,Low,2,4
634,10346,Network,Medium,12,4
635,14448,Speed,Medium,13,1
636,14830,Refund,High,19,3
637,419,Speed,Low,14,2
638,3873,Billing,High,9,1
639,5196,Network,High,19,4
640,9703,Login,High,16,1
641,7204,Refund,Low,20,3
642,13071,Speed,High,7,1
643,11464,Speed,Low,19,5
644,11597,Refund,Medium,3,2
645,2023,Technical,High,10,4
646,12265,Refund,Low,8,2
647,13012,Network,High,19,4
648,6146,Billing,High,8,4
649,8658,Refund,Medium,8,3
650,472,Billing,Medium,18,3
651,83,Speed,Low,6,3
652,8656,Speed,Low,11,4
653,13013,Login,Medium,9,5
654,9012,Speed,High,13,2
655,11305,Network,Medium,10,5
656,440,Technical,Medium,5,3
657,12173,Billing,Medium,11,5
658,7351,Technical,High,7,4
659,13276,Login,High,20,5
660,2779,Billing,High,9,3
661,924,Billing,Low,13,3
662,12561,Network,Low,5,4
663,9421,Refund,High,6,2
664,10642,Billing,Low,4,1
665,5580,Technical,Medium,1,2
666,5548,Network,High,15,3
667,10323,Speed,Medium,17,5
668,13817,Login,Low,12,5
669,14092,Billing,High,5,1
