transaction_id,customer_id,payment_date,amount,payment_method,payment_status
1,12514,2023-10-21,2265,UPI,Paid
2,9709,2023-07-17,1256,Wallet,Paid
3,7378,2024-03-27,1046,Card,Late
4,10886,2023-03-11,590,Card,Paid
5,11523,2025-01-29,2063,UPI,Paid
6,9640,2024-07-02,872,Net Banking,Paid
7,6990,2023-04-03,1756,UPI,Paid
8,6259,2025-03-25,551,Card,Paid
9,2045,2023-07-09,1306,Wallet,Paid
10,7974,2024-12-26,2157,Net Banking,Late
11,6033,2023-03-20,337,Wallet,Paid
12,4275,2024-10-08,864,Net Banking,Late
13,8603,2024-05-09,1550,Net Banking,Paid
14,5541,2023-08-01,1746,UPI,Paid
15,7194,2025-05-10,1581,Net Banking,Paid
16,6862,2023-10-17,1401,Card,Paid
17,14012,2025-05-09,2098,Net Banking,Late
18,11620,2023-03-16,335,UPI,Paid
19,3672,2025-03-17,728,Card,Paid
20,12949,2024-01-18,2228,Card,Paid
21,833,2023-04-17,1526,Net Banking,Paid
22,7998,2024-02-12,1079,Wallet,Late
23,5546,2025-05-24,602,Wallet,Paid
24,96,2023-06-17,2414,UPI,Paid
25,5951,2024-05-15,464,UPI,Paid
26,8651,2023-08-07,1295,Net Banking,Paid
27,6458,2024-03-06,2061,UPI,Failed
28,14192,2024-02-15,548,UPI,Paid
29,4352,2023-11-09,1569,Wallet,Paid
30,3665,2024-03-08,2015,Wallet,Paid
31,11838,2023-07-03,2444,Card,Paid
32,3395,2023-09-19,887,Card,Paid
33,2917,2023-01-13,767,UPI,Paid
34,11037,2023-02-18,1825,Wallet,Paid
35,1171,2023-06-12,2124,Net Banking,Paid
36,8555,2023-11-28,2201,Wallet,Paid
37,4981,2025-05-18,929,UPI,Paid
38,2401,2024-02-25,1929,UPI,Paid
39,2545,2024-11-08,2147,UPI,Failed
40,6887,2024-11-11,573,UPI,Paid
41,2671,2023-06-04,2241,Card,Paid
42,8325,2023-02-12,2257,Card,Paid
43,7362,2024-02-10,1646,Wallet,Paid
44,3593,2023-04-01,789,Net Banking,Paid
45,8361,2024-01-12,1788,Net Banking,Paid
46,13977,2025-03-30,1076,Card,Failed
47,8820,2023-10-10,334,UPI,Paid
48,4692,2024-03-16,1477,Card,Paid
49,13131,2023-03-28,1831,Net Banking,Failed
50,6009,2024-11-26,486,Wallet,Paid
51,12684,2025-04-22,1050,Net Banking,Paid
52,7489,2025-03-18,1140,Net Banking,Late
53,11736,2025-03-08,1935,UPI,Paid
54,13649,2023-06-06,1018,Wallet,Paid
55,6032,2023-01-17,2182,Card,Paid
56,7223,2024-06-04,2433,UPI,Paid
57,14318,2025-03-18,1505,UPI,Paid
58,2982,2023-08-04,2340,Net Banking,Late
59,555,2024-09-17,305,UPI,Paid
60,11647,2023-08-07,1893,Net Banking,Paid
61,12168,2023-02-09,1601,Wallet,Paid
62,4149,2023-05-14,1261,UPI,Late
63,6973,2023-03-14,882,UPI,Paid
64,5080,2024-11-20,1348,Wallet,Paid
65,4934,2025-04-30,2362,Wallet,Paid
66,430,2024-10-06,2288,Wallet,Paid
67,2441,2023-06-18,615,UPI,Late
68,7107,2024-12-31,1098,UPI,Paid
69,8036,2024-06-29,387,UPI,Paid
70,8471,2024-12-19,1533,UPI,Paid
71,2847,2024-10-08,358,Card,Paid
72,11810,2024-07-06,1044,Wallet,Failed
73,12774,2023-07-02,1264,Card,Paid
74,8424,2024-02-15,1986,Wallet,Paid
75,1315,2024-04-16,1414,Net Banking,Paid
76,9264,2025-04-07,366,Net Banking,Paid
77,12753,2025-03-01,1018,Wallet,Paid
78,3605,2024-03-04,2188,Wallet,Paid
79,3828,2023-06-08,1209,Net Banking,Paid
80,11843,2024-01-17,763,Card,Paid
81,6438,2023-11-09,2035,Card,Late
82,10549,2025-03-28,2237,Wallet,Paid
83,8930,2023-09-12,2114,Wallet,Paid
84,13582,2023-08-20,1705,UPI,Paid
85,13626,2023-08-20,1819,UPI,Paid
86,3140,2024-10-06,2079,Card,Paid
87,7753,2025-03-24,2098,UPI,Paid
88,14374,2024-02-06,1522,Card,Paid
89,2703,2023-11-06,1828,UPI,Paid
90,12726,2023-03-22,1917,Card,Paid
91,10049,2025-06-07,858,UPI,Paid
92,9738,2023-11-28,2305,Net Banking,Paid
93,13451,2023-09-19,1589,Wallet,Paid
94,7775,2023-12-25,1296,UPI,Paid
95,14451,2024-11-30,2108,Card,Paid
96,6052,2023-07-02,1055,Card,Paid
97,7650,2025-03-13,969,Net Banking,Paid
98,4602,2023-08-10,2496,Card,Failed
99,806,2024-05-16,1639,Wallet,Paid
100,1361,2023-06-22,423,UPI,Late
101,4292,2024-10-01,1012,UPI,Paid
102,9835,2025-05-24,2262,UPI,Paid
103,9509,2025-05-08,2140,Net Banking,Paid
104,5394,2024-10-20,939,Wallet,Late
105,10535,2024-01-31,2476,Wallet,Failed
106,11172,2023-08-01,941,Wallet,Paid
107,7413,2025-01-18,405,Wallet,Paid
108,5160,2023-05-29,576,Wallet,Paid
109,8199,2024-06-02,861,Card,Late
110,5580,2023-08-10,481,UPI,Paid
111,12435,2023-07-01,1042,Net Banking,Paid
112,9509,2025-05-12,1358,Wallet,Failed
113,1288,2025-01-24,1884,Wallet,Paid
114,5834,2023-05-01,1622,Net Banking,Paid
115,9892,2024-03-21,801,Net Banking,Paid
116,7495,2023-06-25,640,Net Banking,Paid
117,7516,2024-11-20,2296,UPI,Paid
118,14208,2025-03-06,2450,UPI,Paid
119,4265,2023-02-10,529,Wallet,Paid
120,10066,2024-05-29,2469,Net Banking,Paid
121,449,2023-08-23,2485,Card,Late
122,1590,2024-06-03,2255,Card,Paid
123,7389,2024-06-11,478,Net Banking,Late
124,14583,2023-05-02,328,Net Banking,Paid
125,9430,2023-12-09,1057,Wallet,Paid
126,2422,2023-05-25,409,UPI,Late
127,8342,2024-06-24,377,Card,Paid
128,6575,2023-08-18,1452,Net Banking,Paid
129,11181,2023-12-14,800,UPI,Paid
130,3800,2023-03-15,1579,Card,Paid
131,10004,2023-01-05,2230,Card,Paid
132,8734,2024-07-20,2442,Wallet,Paid
133,14259,2024-02-18,1849,Card,Paid
134,4295,2023-12-25,604,Net Banking,Paid
135,14840,2023-11-03,915,Card,Paid
136,2691,2025-05-23,2080,UPI,Paid
137,5446,2024-11-07,913,Net Banking,Paid
138,5200,2025-01-14,1009,Wallet,Late
139,2823,2025-01-13,1312,Card,Paid
140,29,2025-03-16,1344,Card,Paid
141,439,2024-02-27,2055,Card,Paid
142,4610,2024-06-21,2151,UPI,Paid
143,6526,2023-05-06,1431,Card,Paid
144,12504,2024-08-31,627,UPI,Late
145,410,2025-04-07,1154,Card,Paid
146,11181,2024-04-24,947,Card,Paid
147,8502,2023-03-24,1884,Card,Late
148,13814,2024-12-14,1103,Card,Paid
149,3955,2023-01-15,1119,Net Banking,Paid
150,12297,2025-06-08,1094,Net Banking,Paid
151,5350,2024-09-06,1508,Wallet,Paid
152,10340,2023-02-11,417,Net Banking,Paid
153,8169,2023-05-27,683,Net Banking,Paid
154,7599,2024-04-10,1477,UPI,Paid
155,3790,2024-04-03,711,Card,Paid
156,13232,2023-04-19,942,Wallet,Paid
157,10062,2023-01-06,309,Net Banking,Late
158,13006,2023-08-07,1928,Net Banking,Paid
159,14232,2024-12-23,1757,Wallet,Paid
160,6738,2023-11-16,2402,Wallet,Paid
161,3970,2024-02-28,2292,UPI,Paid
162,3680,2025-01-08,1358,Wallet,Paid
163,3162,2023-03-31,1931,Card,Paid
164,2591,2024-10-29,2269,Net Banking,Paid
165,10133,2024-01-14,2144,Card,Paid
166,13533,2023-06-12,1752,Wallet,Paid
167,14926,2024-02-20,920,Wallet,Paid
168,13376,2023-11-26,1536,Net Banking,Failed
169,14641,2023-07-05,466,UPI,Paid
170,12207,2024-06-18,463,Net Banking,Paid
171,11137,2025-01-24,2191,Card,Paid
172,13218,2025-03-02,1185,Net Banking,Paid
173,5872,2024-03-13,2417,UPI,Paid
174,4927,2024-07-25,1474,Wallet,Paid
175,2228,2025-03-02,2468,Wallet,Paid
176,14503,2023-03-22,1568,Net Banking,Late
177,13388,2025-01-27,1592,Card,Late
178,5168,2025-06-07,796,Wallet,Late
179,6275,2025-04-19,759,UPI,Paid
180,3315,2024-04-27,373,Wallet,Paid
181,398,2023-11-26,2102,Net Banking,Failed
182,3926,2025-02-03,2323,Card,Paid
183,1050,2023-06-10,736,UPI,Paid
184,3363,2025-03-27,509,Net Banking,Paid
185,9431,2023-04-16,991,UPI,Late
186,14183,2025-02-16,1004,Card,Paid
187,8708,2023-10-04,2137,Wallet,Paid
188,14765,2025-05-20,2120,Card,Paid
189,794,2023-02-28,2167,Wallet,Paid
190,13541,2023-06-06,1369,Card,Paid
191,13163,2023-09-09,724,Wallet,Paid
192,6837,2024-11-02,1457,UPI,Paid
193,6897,2024-04-30,1873,UPI,Paid
194,14784,2025-03-16,1811,Net Banking,Paid
195,11930,2023-08-16,357,Wallet,Paid
196,3418,2023-05-17,906,UPI,Paid
197,7902,2024-11-04,342,UPI,Late
198,3187,2023-06-23,1701,Card,Paid
199,11933,2023-08-09,2219,Net Banking,Paid
200,6240,2023-02-08,963,UPI,Late
201,12861,2024-12-19,1014,UPI,Paid
202,4238,2023-08-03,1010,UPI,Paid
203,13021,2023-03-25,674,Card,Paid
204,8373,2024-11-04,1685,Wallet,Paid
205,6075,2023-09-26,1928,UPI,Paid
206,5061,2024-10-08,1630,Wallet,Late
207,9374,2023-07-14,1150,UPI,Paid
208,13334,2024-11-14,2155,UPI,Paid
209,5585,2023-01-24,1714,Wallet,Paid
210,10334,2024-01-24,620,Net Banking,Failed
211,2694,2025-03-28,2150,Card,Paid
212,9989,2024-10-10,1748,Wallet,Paid
213,8745,2024-05-09,2249,UPI,Paid
214,7421,2023-03-02,2150,Net Banking,Paid
215,3172,2023-09-12,1274,Net Banking,Paid
216,13398,2025-06-05,2498,Net Banking,Paid
217,8495,2025-06-14,1849,Net Banking,Paid
218,1303,2025-03-18,2272,Wallet,Failed
219,11597,2024-10-30,554,UPI,Paid
220,2546,2024-07-08,1056,Card,Paid
221,9446,2023-08-16,1822,Card,Paid
